"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"
"1"	"KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1"	0.000408496732026144	0.00604575163398693	-0.634536031371665	-1.97902535200311	0	35
"2"	"KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1"	0.00039032006245121	0.00604575163398693	0.655063460014808	2.20426493666159	0	54
"3"	"KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1"	0.000389256520046711	0.00604575163398693	0.827944401895199	2.80504909951405	0	56
"4"	"KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1"	0.000387446726075165	0.00604575163398693	0.589895483468436	1.87451785808574	0	39
"5"	"KEGG-Module-M00178: Ribosome, bacteria"	0.000389256520046711	0.00604575163398693	0.827944401895199	2.80504909951405	0	56
"6"	"KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1"	0.00117647058823529	0.012436974789916	0.57275106888555	1.76364867798111	2	34
"7"	"KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1"	0.00116640746500778	0.012436974789916	0.656524680375409	1.8862687800742	2	25
"8"	"KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1"	0.00163265306122449	0.0134240362811791	-0.50381500722099	-1.80067618079818	3	70
"9"	"KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1"	0.0015552099533437	0.0134240362811791	0.641147072192348	1.87438515520901	3	27
"10"	"KEGG-Pathway-pae00500: Starch and sucrose metabolism - Pseudomonas aeruginosa PAO1"	0.00496688741721854	0.0334136062612884	-0.663915290631319	-1.77001929247601	11	18
