"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"
"1"	"KEGG-Pathway-pae00920: Sulfur metabolism - Pseudomonas aeruginosa PAO1"	0.000255819902788437	0.00385115794951861	0.664832845663565	2.25457853934304	0	51
"2"	"KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1"	0.000241954996370675	0.00385115794951861	0.48792927278737	1.76888994255815	0	77
"3"	"KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1"	0.000253485424588086	0.00385115794951861	0.75364884008685	2.59411972057987	0	56
"4"	"KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1"	0.000260213374967473	0.00385115794951861	0.565128602702616	1.86427121838054	0	44
"5"	"KEGG-Module-M00178: Ribosome, bacteria"	0.000253485424588086	0.00385115794951861	0.75364884008685	2.59411972057987	0	56
"6"	"KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1"	0.000884173297966401	0.00655447298494243	-0.525193149883889	-2.05974594389115	0	45
"7"	"KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1"	0.000885739592559787	0.00655447298494243	-0.701465022841165	-2.79023415256807	0	47
"8"	"KEGG-Pathway-pae00281: Geraniol degradation - Pseudomonas aeruginosa PAO1"	0.000683060109289617	0.00655447298494243	-0.63603487853477	-2.15986061345662	0	24
"9"	"KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1"	0.000835421888053467	0.00655447298494243	-0.571446569536585	-2.18266565480469	0	39
"10"	"KEGG-Module-M00334: Type VI secretion system"	0.000851063829787234	0.00655447298494243	-0.585177570167264	-2.27174403757702	0	43
