	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
05_PA14000-4-2_5-10-07_S2.CEL	0.0	0.0	2.8818069	4.025048	0.02612102	0.0	0.23307282	0.0	0.28555167	0.0	3.521488	2.3498487	0.0	0.22100562	0.040035345	0.11928892	0.0	2.2676635	3.7908776	0.62256414
54375-4-05.CEL	0.2714581	0.27983811	5.3148084	0.014324784	0.023809642	0.17117342	0.29414022	0.29352278	0.0	0.0	0.0	4.6622114	0.0	0.0	0.22157674	0.027969867	1.871457	0.4601284	0.6510315	1.5239539
AKGlu_plus_nt_7-8-09_s1.CEL	0.8841777	0.0	0.87460804	5.96478	1.2251507	0.0	1.4507334	0.0	0.0	0.5446265	1.4584175	1.5026982	0.0	0.31175426	0.0	0.16959903	0.0	3.467533	2.9294763	0.0
anaerobic_NO3_1.CEL	0.0	7.1196785	0.0	6.0347657	1.1232903	1.1560216	0.0	0.0	0.0	0.5729172	0.0	0.0	0.90553373	0.22694	0.0	0.49818277	1.5832608	0.0	0.0	0.0
anaerobic_NO3_2.CEL	0.0	7.092632	0.0	6.48081	0.99817914	0.9397593	0.0	0.0	0.0	0.5971595	0.0	0.0	0.9110455	0.13951841	0.0	0.5087034	1.8635567	0.0	0.0	0.0
control1aerobic_Pae_G1a.CEL	0.0	0.2836492	0.0	0.52082217	4.9610124	0.0	0.0	4.970084	1.9933238	0.0	0.6798009	0.0	3.1248488	0.0	0.10083957	0.0	0.16199397	0.0	0.0	0.010050118
control1_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.17136621	4.7953334	0.0	0.0	5.0762453	1.6616158	0.0	3.4107049	0.0	2.2947598	0.0	0.0	0.0	0.0	0.0	0.1507447	2.9530382
control2aerobic_Pae_G1a.CEL	0.0	1.5452206	0.0	0.11519599	5.243724	0.0	0.0	4.077643	2.3698783	0.0	0.0	0.0	3.325455	0.0	0.5500629	0.0	0.41025844	0.0	0.0	0.0
control2_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.091386855	4.5574956	0.0	0.0	5.0165377	1.8125868	0.0	3.5791821	0.0	2.381885	0.0	0.0	0.0	0.0	0.15853712	0.09391522	2.6003306
control3aerobic_Pae_G1a.CEL	0.0	0.21473733	0.0	0.6064557	5.336023	0.0	0.0	5.027914	1.5478332	0.0	0.8150244	0.0	3.2927892	0.0	0.0	0.0	0.34320676	0.0	0.0	0.057345033
control3_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.030043185	4.8693657	0.0	0.0	4.9375	2.0141058	0.0	3.180128	0.0	2.3604717	0.0	0.0	0.0	0.0	0.0	0.01689753	2.7929037
DB1.CEL	1.1418636	0.19056195	0.56450456	0.0	0.40429774	0.15210912	0.45290613	0.0	0.0	0.5242909	0.3294441	0.0	0.048547357	0.18586445	4.968468	0.0	0.30030626	0.0	0.0	0.0
DB3.CEL	0.88220346	1.5068598	0.33620113	0.0	0.8200611	0.10309139	1.1090429	0.0	0.0	0.98760366	0.23010445	0.0	0.17678237	0.0	4.4855857	0.13143867	0.0	0.0	0.0	0.06466651
DC1.CEL	1.3925235	0.46504247	2.4396038	0.11121416	2.4079666	0.0	1.5334461	0.0	0.143067	2.0423267	1.9796554	0.0	0.0	0.0	2.1293437	0.16487321	0.0	0.0	0.35899842	0.0
DC2.CEL	1.2799963	0.48546505	2.7000458	0.055943012	1.8579404	0.0	1.649539	0.0	0.3242513	1.8389921	1.6409538	0.0	0.0	0.013559945	2.0042946	0.090301394	0.0	0.0	0.0	0.0
DC3.CEL	0.95074093	0.12489025	1.6682746	0.0	1.2914737	0.0	1.9428792	0.0	0.0	1.0437281	0.6970097	0.0	0.004977703	0.0	3.0625322	0.4737835	0.0	0.0	0.0	2.80539
dPA54375-18-05.CEL	0.20346683	0.0	3.7291179	0.0	0.0	0.2597281	0.33866125	0.25259113	0.10795581	0.0	0.0	4.5745473	0.0	0.0	0.3785971	0.0	0.71981996	0.33036548	1.1832902	2.050178
fos1aerobic_Pae_G1a.CEL	0.0	0.4909144	0.0	0.28036723	5.2080593	0.07459736	0.0	4.888998	2.2241564	0.0	0.47705412	0.0	2.9230099	0.0	0.2173556	0.0	0.0	0.0	0.0	0.0
fos1_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.0	4.7253995	0.037702713	0.0	5.0995226	2.711719	0.0	2.4899926	0.0	2.0730038	0.0	0.00078813545	0.0	0.0	0.0	0.0	2.6779325
fos2aerobic_Pae_G1a.CEL	0.0	1.3563952	0.0	0.011090577	4.7760863	0.03523537	0.0	4.715275	3.0111265	0.0	0.0	0.0	2.8569734	0.0	0.82408285	0.0	0.0	0.0	0.0	0.0
fos2_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.22422549	5.084969	0.0	0.0	5.3324623	1.6375964	0.0	2.7888658	0.0	2.573528	0.0	0.0	0.0	0.0013180077	0.0	0.0	2.3409905
Fos3_aerobic_wdh_Pae_G1a.CEL	0.0	1.4290361	0.0	0.0	4.99583	0.119006366	0.0	3.746121	3.837914	0.0	0.0	0.0	2.2791135	0.34496707	2.9312348	0.4739409	0.0	0.0	0.0	0.0
fos3_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.0	4.47682	0.017423876	0.0	4.953079	2.2079523	0.0	2.6781745	0.0	2.2052581	0.0	0.0	0.0	0.0	0.0	0.0	2.5745924
FT1aerobic_Pae_G1a.CEL	0.0	0.9755698	0.0	0.13587248	4.731439	0.069234006	0.0	4.5541363	2.8744993	0.0	0.19038129	0.0	2.8659635	0.0	0.51455253	0.0	0.0	0.0	0.0	0.0
FT1_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.0	4.5836887	0.0	0.0	5.2217016	2.3868177	0.0	3.093047	0.0	2.2760525	0.0	0.0	0.0	0.0	0.0	0.0	2.597508
FT2_aerobic_wdh_Pae_G1a.CEL	0.0	2.0538058	0.0	0.0	4.5572414	0.020809725	0.0	4.2707863	3.4797373	0.0	0.0	0.0	2.9096544	0.0	1.3669205	0.0	0.0	0.0	0.0	0.0
FT2_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.0	4.490458	0.0	0.0	5.1282444	2.123516	0.0	3.3264773	0.0	2.1750205	0.0	0.0	0.0	0.0	0.0	0.0	2.645453
FT3aerobic_Pae_G1a.CEL	0.0	1.6999135	0.0	0.11095297	4.2810225	0.0769871	0.0	4.3786297	3.5037217	0.0	0.0	0.0	3.0183678	0.0	1.068393	0.0	0.0	0.0	0.0	0.0
FT3_anaerobic_Pae_G1a.CEL	0.0	0.0	0.0	0.10250324	4.6470275	0.0	0.0	5.2256374	1.9372199	0.0	3.392532	0.0	2.2093713	0.0	0.0	0.0	0.0	0.0	0.0	2.5039797
glu_plus_nt_2_8-25-09_s2.CEL	0.95756817	0.0	0.82492614	5.451616	1.2845635	0.0	1.4299266	0.0	0.036177218	0.67229086	1.8730115	1.2157567	0.0	0.13797994	0.0	0.28055373	0.0	3.0930293	3.333601	0.0
GPphhRminus_11-30-09_12-3-09_s1.CEL	1.1296158	0.0	2.6466157	4.5801897	0.19015369	0.0	0.0	0.0	0.060398817	0.0	4.2512717	1.4935073	0.0	0.5663578	0.0	0.13213938	0.0	2.7395635	4.370921	0.0
GPphhRminus_11-4-09_s2.CEL	0.0	0.0	3.1058385	3.8008933	0.47780198	0.0	0.52628845	0.0	0.016904414	0.0	2.565014	2.425083	0.0	0.36190784	0.11708678	0.06664261	0.0	2.8674324	3.8913872	0.0
