	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR592745	0.0	0.0	0.019621108	0.0	0.0	0.0	0.0	0.0	0.0	1.2210363	0.28886217	3.1286054	1.2123779	0.0	0.7162174	0.0	0.0	0.0	0.80864775	0.58966374	0.0	0.21159601	0.0	0.06078741	0.0	1.9009119	0.931412	0.0	0.0	0.0
SRR592746	0.0	0.0	0.16150874	0.0	0.0	0.0	0.0	0.0	0.0	1.0274305	0.2039084	3.011246	1.2756681	0.0	0.6926349	0.11475742	0.0	0.0	0.81662655	0.600559	0.0	0.40917695	0.0	0.22597301	0.0	1.7018195	0.7133553	0.0	0.0	0.0
SRR592747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4347082	0.30523205	3.142414	1.2354054	0.0	0.73008466	0.0	0.0	0.0	0.7107843	0.59599745	0.0	0.16283822	0.0	0.0	0.0	2.0060737	0.97958636	0.0	0.0	0.0
SRR592748	0.0	0.0	0.09867628	0.0	0.0	0.0	0.0	0.0	0.0	1.5954778	0.52825856	1.839706	0.9560337	0.0	1.1303849	0.0	0.0	0.0	1.0071224	0.0	0.0	0.0	0.0	0.0	0.0	1.6688929	0.57042646	0.0	0.0	0.0
SRR592749	0.0	0.048164904	0.045234527	0.0	0.0	0.0	0.0	0.0	0.0	1.4053705	0.8026074	1.7783785	0.7387287	0.0	1.0010413	0.0	0.0	0.0	1.357576	0.0	0.0	0.0	0.0	0.0	0.0	1.7095507	0.6805413	0.02745375	0.21846092	0.0
SRR933995	0.8870993	0.43662858	1.1908455	0.0	1.2175723	0.5673465	2.0932336	1.7320733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8680813	2.0765433	1.566113	0.0	0.0	0.0	0.0	0.7968935	1.3552327	0.0	0.0	0.0	0.0	0.0	1.7177243
SRR933994	0.8119569	0.39432982	1.475646	0.0	1.0142021	0.1587878	1.8095341	1.6718057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1799927	1.8745193	1.3597412	0.0	0.0	0.0	0.0	0.937792	1.0533136	0.0	0.0	0.0	0.0	0.0	1.8299646
SRR933998	0.8366363	0.26318502	1.4527092	0.0	0.9697145	0.0	1.6494937	1.6330392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.906414	1.7179823	0.9291293	0.0	0.0	0.0	0.0	0.6840749	0.9097644	0.0	0.0	0.0	0.0	0.0	1.8973335
SRR933999	0.83830404	0.2805868	1.4468994	0.0	0.9614272	0.028163396	1.8463733	1.6618733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0839293	1.8299034	1.2189248	0.0	0.0	0.0	0.0	0.73294085	0.9182519	0.0	0.0	0.0	0.0	0.0	1.8848845
SRR934000	0.8131	0.2984094	1.345725	0.0	1.0646743	0.16466057	1.8483112	1.7215523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3378403	1.9172409	1.3517929	0.0	0.0	0.0	0.0	0.76881623	1.0703001	0.0	0.0	0.0	0.0	0.0	1.8123528
SRR934001	0.6243537	0.4058468	1.2051384	0.0	0.9602995	0.0	1.6855719	1.553498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75638306	1.631631	1.216776	0.0	0.0	0.0	0.0	0.8840385	0.84156907	0.0	0.0	0.0	0.0	0.0	1.4304051
SRR934002	0.75487417	0.26359868	1.4358157	0.0	1.0135481	0.0	1.6387157	1.5764221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8583411	1.705713	0.9280453	0.0	0.0	0.0	0.0	0.6936301	0.8422625	0.0	0.0	0.0	0.0	0.0	1.7768372
