	1	2	3
05_PA14000-4-2_5-10-07_S2.CEL	3.9147406	4.145901	0.0
54375-4-05.CEL	0.20532918	5.550631	0.0
AKGlu_plus_nt_7-8-09_s1.CEL	3.7535717	3.2573428	0.26059735
anaerobic_NO3_1.CEL	0.0	0.0	3.2265134
anaerobic_NO3_2.CEL	0.0	0.0	3.4239435
control1aerobic_Pae_G1a.CEL	0.3775671	0.0	1.1733935
control1_anaerobic_Pae_G1a.CEL	2.1103213	0.0	0.0
control2aerobic_Pae_G1a.CEL	0.0	0.0	1.1850758
control2_anaerobic_Pae_G1a.CEL	1.9800365	0.0	0.0
control3aerobic_Pae_G1a.CEL	0.43666	0.0	1.5644422
control3_anaerobic_Pae_G1a.CEL	1.7960596	0.0	0.0
DB1.CEL	0.0	0.29529515	0.0
DB3.CEL	0.0	0.0	0.0
DC1.CEL	0.40821946	2.9428735	0.90073323
DC2.CEL	0.29836854	2.3415575	0.4521358
DC3.CEL	0.0	1.1280475	0.0
dPA54375-18-05.CEL	0.524683	4.952114	0.0
fos1aerobic_Pae_G1a.CEL	0.1742143	0.0	0.9515667
fos1_anaerobic_Pae_G1a.CEL	1.1142352	0.0	0.0
fos2aerobic_Pae_G1a.CEL	0.0	0.0	0.5760851
fos2_anaerobic_Pae_G1a.CEL	1.5229135	0.0	0.2810585
Fos3_aerobic_wdh_Pae_G1a.CEL	0.0	0.0	0.0
fos3_anaerobic_Pae_G1a.CEL	1.280989	0.0	0.0
FT1aerobic_Pae_G1a.CEL	0.06746647	0.0	0.53322756
FT1_anaerobic_Pae_G1a.CEL	1.5027614	0.0	0.0
FT2_aerobic_wdh_Pae_G1a.CEL	0.0	0.0	0.24693942
FT2_anaerobic_Pae_G1a.CEL	1.6433053	0.0	0.0
FT3aerobic_Pae_G1a.CEL	0.0	0.0	0.26832044
FT3_anaerobic_Pae_G1a.CEL	1.9478114	0.0	0.0
glu_plus_nt_2_8-25-09_s2.CEL	3.7529347	3.2971106	0.1901282
GPphhRminus_11-30-09_12-3-09_s1.CEL	4.2186656	4.1682916	0.0
GPphhRminus_11-4-09_s2.CEL	3.7052765	4.169152	0.0
GSM1027584_062508WT.CEL	0.0	2.4082298	2.7731276
GSM1027585_071008WT.CEL	0.0	3.0425172	3.1042762
GSM1027586_062508plcHR.CEL	0.0	0.24113867	3.9968657
GSM1027587_071008plcHR.CEL	0.0	0.0	4.84072
GSM1027588_062508gbdR.CEL	0.0	0.7597267	3.8996034
GSM1027589_071008gbdR.CEL	0.0	0.63106364	4.382044
GSM1067456_PAO1_CK_1.CEL	0.0	3.620111	3.2686687
GSM1067457_PAO1_PAA_1.CEL	0.0	4.0364566	2.7431846
GSM1067458_PAO1_CK_2.CEL	0.0	2.4174309	3.4067569
GSM1067459_PAO1_PAA_2.CEL	0.0	3.0146003	3.1354795
GSM1112046_PGAS_25_1A.CEL	0.0	0.0	0.0
GSM1112047_PGAS_25_2A.CEL	0.0	0.0	0.0
GSM1112048_PGAS_25_4A.CEL	0.0	0.0	0.0
GSM1112049_PGAS_37_1B.CEL	0.0	0.0	0.0
GSM1112050_PGAS_37_2B.CEL	0.0	0.0	0.26078743
GSM1112051_PGAS_37_3A.CEL	0.0	0.0	1.2139202
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	0.42372605	5.9399195	1.0016942
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	0.60284245	5.413397	1.1018043
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	0.23829019	5.6374884	1.6139426
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	1.6388416	5.5312324	0.07352221
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	2.4437475	5.363823	0.24548972
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	0.8058356	4.0955224	3.315733
GSM1146022_pJN105_1.CEL	3.406675	3.3403282	0.0
GSM1146023_pJN105_2.CEL	2.0714056	2.2374392	0.0
GSM1146024_phaF_1.CEL	2.2935762	2.2174313	0.0
GSM1146025_phaF_2.CEL	3.2793427	3.5281782	0.0
GSM1177842_PAO1-1.CEL	0.0	0.0	5.404326
GSM1177843_PAO1-2.CEL	0.0	0.0	5.188627
GSM1177844_PAO1-3.CEL	0.0	0.0	5.0192246
GSM1177845_PAO1-AMV-1.CEL	0.0	0.0	4.7472806
GSM1177846_PAO1-AMV-2.CEL	0.0	0.0	5.065492
GSM1177847_PAO1-AMV-3.CEL	0.0	0.0	4.7243333
GSM1181847_gc_WT1_1.CEL	0.0	2.301896	3.1745849
GSM1181848_gc_WT2_3.CEL	0.0	2.5719984	3.7029376
GSM1181849_gc_Delta1_2.CEL	0.0	1.8526884	3.5307202
GSM1181850_gc_Delta2_4.CEL	0.0	2.850903	3.1740022
GSM1191066_sphR-pyr-1.CEL	0.0	0.0	1.7342405
GSM1191067_sphR-pyr-2.CEL	0.0	0.0	1.8887594
GSM1191068_sphR-surf-1.CEL	0.0	0.8555628	1.5235552
GSM1191069_sphR-surf-2.CEL	0.0	1.8240913	0.9303739
GSM1191070_WT-pyr-1.CEL	0.0	0.60788584	1.355416
GSM1191071_WT-pyr-2.CEL	0.0	0.0	1.7674737
GSM1191072_WT-surf-1.CEL	0.0	0.50266826	1.8324137
GSM1191073_WT-surf-2.CEL	0.0	2.1751828	0.36422908
GSM1206643_WT-PYR-1.CEL	0.0	0.0	0.18957853
GSM1206644_WT-PYR-2.CEL	0.0	0.0	0.095553815
GSM1206645_WT-CHO-1.CEL	0.0	0.0	0.107022464
GSM1206646_WT-CHO-2.CEL	0.0	0.0	0.0
GSM1206647_WT-DTC-1.CEL	0.0	0.0	0.0
GSM1206648_WT-DTC-2.CEL	0.0	0.0	0.0
GSM1206649_WT-ETC-1.CEL	0.0	0.0	0.0
GSM1206650_WT-ETC-2.CEL	0.0	0.0	0.0
GSM1206651_WT-PRC-1.CEL	0.0	0.0	0.0
GSM1206652_WT-PRC-2.CEL	0.0	0.0	0.0
GSM1206653_dgcA-CHO-1.CEL	0.0	0.0	0.0
GSM1206654_dgcA-CHO-2.CEL	0.0	0.0	0.0
GSM1237734_M9_H103_2_51059600653056031211409890238138.CEL	0.0	2.4403734	3.4084115
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	0.0	2.4295886	3.2963285
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	0.0	3.8539925	3.115508
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	0.0	4.3034444	2.048596
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	0.0	4.2950563	2.308309
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	0.0	3.8348513	2.3575325
GSM1244967_PAO1-22-replicate-01.CEL	0.0	0.0	1.5736855
GSM1244968_PAO1-22-replicate-02.CEL	0.0	0.0	1.4071984
GSM1244969_PAO1-22-replicate-03.CEL	0.0	0.0	1.7205899
GSM1244970_PAO1-37-replicate-01.CEL	0.0	0.0	1.7403146
GSM1244971_PAO1-37-replicate-02.CEL	0.0	0.0	1.9119965
GSM1244972_PAO1-37-replicate-03.CEL	0.0	0.0	1.5742145
GSM1267086_HZI1981_G1a.CEL	0.0	0.76202965	3.5185862
GSM1267087_HZI1950_Pae_G1a.CEL	0.0	0.89241093	4.5083227
GSM1267088_HZI1951_Pae_G1a.CEL	0.0	1.736423	3.1645188
GSM1267089_HZI1952_Pae_G1a.CEL	0.0	1.6442945	3.6677532
GSM1267090_HZI1953a_Pae_G1a.CEL	0.0	1.7109554	3.4492178
GSM1267091_HZI1954_Pae_G1a.CEL	0.0	0.48842308	3.7050247
GSM1267092_HZI1955_Pae_G1a.CEL	0.8936902	4.165542	2.7763984
GSM1267093_HZI1956_Pae_G1a.CEL	0.0	0.66632384	3.440184
GSM1267094_HZI1958_Pae_G1a.CEL	0.0	0.7217499	2.1993232
GSM1267095_HZI1959_Pae_G1a.CEL	0.0	0.16971546	1.4216549
GSM1267096_HZI1960a_Pae_G1a.CEL	0.0	2.222455	3.0291553
GSM1267097_HZI1961_Pae_G1a.CEL	0.0	2.7108746	2.2204137
GSM1267098_HZI1962_Pae_G1a.CEL	0.0	3.6976123	2.1266441
GSM1267099_HZI1963_Pae_G1a.CEL	0.0	3.696588	1.503238
GSM1267100_HZI1966_Pae_G1a.CEL	0.0	1.5966842	4.1397476
GSM1267101_HZI1967_Pae_G1a.CEL	0.0	0.24254009	1.8359622
GSM1267102_HZI1968_Pae_G1a.CEL	0.0	2.0153823	3.8385978
GSM1267103_HZI1969_Pae_G1a.CEL	0.0	1.9290926	4.0945616
GSM1267104_HZI1970_Pae_G1a.CEL	0.0	2.0592237	4.0405483
GSM1267105_HZI1971_Pae_G1a.CEL	0.0	1.807254	3.9676213
GSM1267106_HZI1972_Pae_G1a.CEL	0.0	1.8214272	3.9040475
GSM1267107_HZI1973_Pae_G1a.CEL	0.0	1.8630807	3.894652
GSM1267108_HZI1974_G1a.CEL	0.0	1.5900592	3.7615066
GSM1267109_HZI1975_G1a.CEL	0.0	1.4413712	3.467997
GSM1267110_HZI1976_G1a.CEL	0.0	0.6976705	2.49297
GSM1267111_HZI1977_G1a.CEL	0.0	0.80154514	2.7532225
GSM1267112_HZI1978_G1a.CEL	0.0	1.613523	3.5826755
GSM1267113_HZI1979_G1a.CEL	0.0	1.7188215	3.6063724
GSM155231.CEL	0.0	5.116705	0.3573446
GSM155239.CEL	0.36493474	4.660743	0.0
GSM155240.CEL	2.247065	5.2359443	0.084481
GSM155241.CEL	1.9822302	5.0786934	0.6916171
GSM155242.CEL	2.0124242	5.818137	0.0
GSM155243.CEL	0.9075612	5.727057	0.034495115
GSM155244.CEL	3.4053197	4.865075	0.0
GSM155245.CEL	3.331463	5.2829623	0.0
GSM156153.CEL	0.0	3.7753687	0.86828446
GSM156154.CEL	0.0	0.0	0.0
GSM156155.CEL	0.0	3.7080421	0.53342503
GSM156156.CEL	0.0	3.0951972	0.0
GSM156157.CEL	0.0	3.8891873	0.13945973
GSM156158.CEL	0.27583915	4.5933394	0.17208362
GSM156172.CEL	0.995901	2.6375196	0.0
GSM156173.CEL	0.93988776	3.2114444	0.0
GSM156174.CEL	0.0	1.0756826	2.8081894
GSM156175.CEL	0.0	0.7982677	3.1156912
GSM175247.CEL	0.0	0.0	1.8370157
GSM175248.CEL	0.0	0.0	0.026169956
GSM177216.CEL	0.0	2.5546799	3.9900656
GSM177218.CEL	0.0	0.64574546	3.1828566
GSM187265.CEL	0.0	1.3985175	2.3941197
GSM187266.CEL	0.9821334	3.2639346	0.6057016
GSM187267.CEL	0.07077962	3.0425854	2.7137856
GSM187270.CEL	1.2087071	0.0	0.64739186
GSM187281.CEL	1.6613815	1.3012936	1.2081454
GSM187282.CEL	1.3941184	0.0	0.0
GSM187283.CEL	1.2207879	0.0	0.0
GSM187284.CEL	0.3856143	0.0	0.0
GSM197237.CEL	0.0	3.3020678	3.375362
GSM197238.CEL	0.0	0.0	0.0
GSM198186.CEL	0.0	3.1843772	2.6331892
GSM198187.CEL	0.0	3.285511	2.5666885
GSM198188.CEL	0.18806267	1.9360943	1.08194
GSM198189.CEL	0.0	1.5988209	2.7959552
GSM198190.CEL	1.274537	3.7881284	2.1314788
GSM198191.CEL	1.3141365	2.9450216	2.5785115
GSM199982.CEL	0.0	0.34722912	4.2826695
GSM199983.CEL	0.0	0.32509843	4.129861
GSM199984.CEL	0.0	1.4458172	2.8803825
GSM199985.CEL	0.0	1.6983609	3.149675
GSM199986.CEL	0.0	1.5613761	2.9757318
GSM208602.CEL	0.0	3.868225	1.4406114
GSM208603.CEL	0.36616653	4.7323723	0.72165215
GSM208604.CEL	0.0	3.723349	0.43947998
GSM208605.CEL	2.4135654	4.255407	0.0
GSM208606.CEL	0.5037682	2.7905502	0.0
GSM208607.CEL	0.92181873	2.1984015	0.012449563
GSM208608.CEL	1.1328821	4.0902905	0.0
GSM208609.CEL	0.71999985	3.2177958	0.0
GSM208610.CEL	3.4888015	3.238244	0.0
GSM208611.CEL	1.3771724	3.954092	0.05977243
GSM208612.CEL	1.939513	3.7376456	0.0
GSM208613.CEL	0.29956138	3.747964	0.0
GSM208614.CEL	0.0023878217	4.389665	0.0
GSM208615.CEL	0.0	3.418655	0.0
GSM208616.CEL	0.0	4.784168	0.0
GSM208617.CEL	0.0	5.5294228	0.0
GSM208618.CEL	0.0	4.6444645	0.8256258
GSM208619.CEL	0.0	4.083653	0.0
GSM208620.CEL	0.0	4.033348	0.0
GSM208621.CEL	0.0	5.9848638	0.21422154
GSM234928.CEL	0.0	0.35253245	3.3321567
GSM234929.CEL	0.0	0.0	0.0
GSM242671.CEL	1.0131407	0.35985854	3.4439607
GSM242676.CEL	3.3825722	2.756958	0.026465476
GSM242677.CEL	0.56408346	0.0	3.5454674
GSM243221.CEL	2.7516127	2.9958706	0.0
GSM243222.CEL	0.9315379	3.8564143	0.34926885
GSM243223.CEL	0.4285465	4.3968406	0.0
GSM243224.CEL	0.0	4.714539	0.0
GSM244065.CEL	0.0	1.72611	3.9201865
GSM244066.CEL	0.0	1.7244954	3.916501
GSM244067.CEL	0.0	1.78805	3.740128
GSM244068.CEL	0.0	1.6713171	3.6434383
GSM244069.CEL	0.0	2.0413468	3.3487601
GSM244070.CEL	0.0	1.8301055	3.5203085
GSM244071.CEL	0.0	2.568464	3.85365
GSM244072.CEL	0.0	2.9546428	3.2681499
GSM251201.CEL	2.0595222	4.687012	0.46455574
GSM251202.CEL	1.7811985	4.8295836	0.0
GSM251203.CEL	0.51000834	3.8015676	0.0
GSM251204.CEL	0.8410555	5.4172764	0.0
GSM251205.CEL	2.2391636	4.9356284	0.0
GSM251206.CEL	1.3416017	4.9574065	0.0
GSM252496.CEL	1.0418434	2.13792	0.0
GSM252501.CEL	1.1271567	2.6180935	0.0
GSM252505.CEL	1.2166873	2.6948404	0.0
GSM252506.CEL	1.0725524	0.0	0.0
GSM252507.CEL	1.429935	0.0	0.0
GSM252508.CEL	0.0	0.0	0.0
GSM252559.CEL	0.0	0.0	3.4253492
GSM252560.CEL	0.0	0.0	4.016853
GSM252561.CEL	0.0	0.0	3.7076821
GSM252562.CEL	0.0	0.03825444	3.9876266
GSM254432.CEL	0.0	1.0313251	4.5923643
GSM261915.CEL	0.0	0.0	0.0
GSM261916.CEL	0.0	0.0	0.0
GSM261917.CEL	0.0	0.0	0.0
GSM261918.CEL	0.034070373	0.0	0.3850619
GSM261919.CEL	0.0	0.0	0.0
GSM261920.CEL	0.0	0.0	0.0
GSM261921.CEL	1.3047886	0.0	0.0
GSM261922.CEL	1.8587816	1.574421	1.7851468
GSM261923.CEL	2.3384712	0.1605534	0.12702966
GSM261924.CEL	2.6227372	1.3696418	1.091321
GSM261925.CEL	1.7764599	0.0	2.1204886
